epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.77714,1.09715,1.70602,1.4465,0.02637,0.21667,0.09246,0.05376,2.1171,4.9919,2.04051,0,0,0
2,5.57243,1.02012,1.90277,1.2935,0.05753,0.31667,0.12192,0.06488,2.03645,4.73101,1.99258,1.17822e-06,1.17822e-06,1.17822e-06
3,8.15258,0.97819,1.79243,1.44207,0.07336,0.56667,0.1367,0.05964,1.96609,4.40296,1.93938,2.33288e-06,2.33288e-06,2.33288e-06
4,10.8167,1.089,1.58592,1.32061,0.05816,0.56667,0.15748,0.08599,1.89594,4.20051,1.881,3.46397e-06,3.46397e-06,3.46397e-06
5,13.5701,1.18804,1.77398,1.57944,0.10723,0.36667,0.2524,0.16792,1.863,4.0291,1.8487,4.5715e-06,4.5715e-06,4.5715e-06
6,15.8109,1.44964,3.12269,1.87037,0.38238,0.28333,0.2635,0.20404,1.86252,3.77528,1.81348,5.65548e-06,5.65548e-06,5.65548e-06
