epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.69723,1.09715,1.70602,1.4465,0.02637,0.21667,0.09246,0.05376,2.1171,4.9919,2.04051,0,0,0
2,10.6776,1.02012,1.90277,1.2935,0.05752,0.31667,0.12191,0.06487,2.03639,4.73094,1.99255,1.1311e-06,1.1311e-06,1.1311e-06
3,16.051,0.97836,1.79275,1.44222,0.07336,0.56667,0.1367,0.05964,1.96599,4.40281,1.9394,2.14438e-06,2.14438e-06,2.14438e-06
4,21.3304,1.08959,1.58748,1.32105,0.05816,0.56667,0.15751,0.086,1.89554,4.19925,1.88077,3.03986e-06,3.03986e-06,3.03986e-06
5,26.9296,1.19546,1.7871,1.58411,0.11152,0.36667,0.25242,0.16793,1.85878,4.02599,1.84072,3.81752e-06,3.81752e-06,3.81752e-06
6,32.2789,1.45156,3.13174,1.87028,0.3846,0.28333,0.26355,0.20409,1.86878,3.77441,1.81451,4.47737e-06,4.47737e-06,4.47737e-06
7,39.9184,1.1089,1.21192,1.42832,0.61482,0.26667,0.26729,0.20269,1.83761,3.51292,1.77245,5.01942e-06,5.01942e-06,5.01942e-06
8,49.4768,0.90524,1.49383,1.30563,0.69883,0.25,0.27914,0.2114,1.84772,3.31984,1.76113,5.44365e-06,5.44365e-06,5.44365e-06
9,56.6395,1.01258,1.63667,1.36573,0.61312,0.26667,0.285,0.20064,1.75217,3.08828,1.63082,5.75008e-06,5.75008e-06,5.75008e-06
10,63.2256,0.99697,2.15171,1.50049,0.53094,0.28333,0.35583,0.23186,1.68859,2.92368,1.54332,5.9387e-06,5.9387e-06,5.9387e-06
11,68.7807,0.62221,0.7362,0.8856,0.63836,0.35757,0.3895,0.24044,1.64232,2.74085,1.54962,6.0095e-06,6.0095e-06,6.0095e-06
12,75.1244,0.7051,0.85565,1.1358,0.71526,0.36594,0.43873,0.29866,1.56899,2.62528,1.48253,5.9625e-06,5.9625e-06,5.9625e-06
13,80.6035,0.66368,0.92545,0.9614,0.71354,0.36178,0.4765,0.32726,1.51704,2.5063,1.46082,5.79768e-06,5.79768e-06,5.79768e-06
14,86.6825,0.87472,0.98338,1.21966,0.75817,0.35505,0.50999,0.34553,1.48745,2.4293,1.43806,5.51505e-06,5.51505e-06,5.51505e-06
15,92.1648,0.67939,0.85188,1.10557,0.74983,0.35567,0.522,0.3798,1.52465,2.31177,1.44103,5.11462e-06,5.11462e-06,5.11462e-06
16,98.5919,0.63595,0.74303,1.03453,0.75703,0.35999,0.53225,0.38003,1.55412,2.18204,1.44256,4.59638e-06,4.59638e-06,4.59638e-06
17,104.485,0.92173,0.83804,1.1608,0.78824,0.37157,0.54845,0.38074,1.56954,2.09312,1.43793,3.96032e-06,3.96032e-06,3.96032e-06
18,110.159,0.82466,0.66455,1.10506,0.78824,0.37157,0.54845,0.38074,1.56954,2.09312,1.43793,3.20646e-06,3.20646e-06,3.20646e-06
19,114.48,0.77045,0.94421,1.10338,0.78605,0.37574,0.55225,0.39435,1.55428,1.9096,1.43169,2.33478e-06,2.33478e-06,2.33478e-06
20,118.355,0.72285,0.68821,1.12807,0.78605,0.37574,0.55225,0.39435,1.55428,1.9096,1.43169,1.3453e-06,1.3453e-06,1.3453e-06
