epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.88365,1.41041,2.81532,1.75661,0.61344,0.88258,0.8879,0.6156,1.39333,1.32811,1.25125,0,0,0
2,3.5083,1.24359,2.67791,1.4288,0.59771,0.8966,0.88815,0.618,1.4057,1.35128,1.25755,1.1311e-06,1.1311e-06,1.1311e-06
3,5.19672,1.12719,4.17316,1.48582,0.57777,0.83333,0.87396,0.61302,1.41972,1.38264,1.26392,2.14438e-06,2.14438e-06,2.14438e-06
4,7.20195,1.27949,2.67953,1.4554,0.54529,0.85708,0.87208,0.60507,1.45292,1.41626,1.27904,3.03986e-06,3.03986e-06,3.03986e-06
5,8.90186,1.32971,2.8682,1.62278,0.57071,0.83333,0.87415,0.5972,1.48133,1.45132,1.29573,3.81752e-06,3.81752e-06,3.81752e-06
6,10.3515,1.66737,4.60553,1.93513,0.85481,0.57266,0.87403,0.58054,1.49321,1.50671,1.31038,4.47737e-06,4.47737e-06,4.47737e-06
7,11.8119,1.38592,2.11245,1.54205,0.83963,0.56667,0.88598,0.57899,1.50602,1.54758,1.31942,5.01942e-06,5.01942e-06,5.01942e-06
8,13.5554,1.50274,3.26031,1.76042,0.83775,0.56667,0.8824,0.57178,1.51976,1.6215,1.34185,5.44365e-06,5.44365e-06,5.44365e-06
9,15.0354,1.09968,2.64562,1.37404,0.82251,0.56667,0.77957,0.54667,1.54413,1.68985,1.35762,5.75008e-06,5.75008e-06,5.75008e-06
10,16.5002,1.00247,3.41488,1.51154,0.82876,0.58179,0.74665,0.51885,1.56018,1.74627,1.37254,5.9387e-06,5.9387e-06,5.9387e-06
11,18.0021,0.7716,1.74171,1.03784,0.80798,0.56667,0.74285,0.53427,1.55847,1.75587,1.3735,6.0095e-06,6.0095e-06,6.0095e-06
12,19.493,0.80881,1.71279,1.191,0.80261,0.58093,0.74277,0.5343,1.56263,1.77622,1.37406,5.9625e-06,5.9625e-06,5.9625e-06
13,21.0405,1.05783,1.94175,1.23743,0.80456,0.57809,0.743,0.54262,1.55005,1.7944,1.36362,5.79768e-06,5.79768e-06,5.79768e-06
14,22.525,0.95059,1.87749,1.34986,0.80261,0.56667,0.74362,0.55932,1.56672,1.80032,1.37062,5.51505e-06,5.51505e-06,5.51505e-06
15,24.0793,0.87074,1.90598,1.23797,0.77564,0.58333,0.74365,0.53998,1.56403,1.80338,1.36853,5.11462e-06,5.11462e-06,5.11462e-06
16,25.5548,0.86552,1.89046,1.24098,0.74537,0.58333,0.74611,0.57415,1.54784,1.83387,1.36111,4.59638e-06,4.59638e-06,4.59638e-06
17,27.0715,0.98179,2.21778,1.14304,0.72267,0.58333,0.74437,0.57356,1.56303,1.86352,1.36238,3.96032e-06,3.96032e-06,3.96032e-06
18,28.5522,0.78444,1.41219,1.14524,0.72267,0.58333,0.74437,0.57356,1.56303,1.86352,1.36238,3.20646e-06,3.20646e-06,3.20646e-06
19,30.0781,1.24933,3.55482,1.39366,0.71715,0.58333,0.74239,0.57111,1.54407,1.85484,1.34982,2.33478e-06,2.33478e-06,2.33478e-06
20,31.5096,0.84549,1.45944,1.19733,0.71715,0.58333,0.74239,0.57111,1.54407,1.85484,1.34982,1.3453e-06,1.3453e-06,1.3453e-06
