epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.29353,0.70936,1.05693,1.14041,0.02628,0.21667,0.08764,0.05376,2.11971,4.98083,2.04794,0,0,0
2,4.54324,0.68765,1.18377,1.09171,0.05949,0.3,0.12129,0.05636,2.0678,4.6918,2.00435,1.07219e-06,1.07219e-06,1.07219e-06
3,6.73878,0.90196,1.34083,1.21448,0.07524,0.56667,0.14304,0.0694,1.98014,4.37061,1.9585,1.90876e-06,1.90876e-06,1.90876e-06
4,8.99472,0.74722,0.99007,1.08355,0.06112,0.56667,0.24831,0.08508,1.92168,4.1847,1.89489,2.50971e-06,2.50971e-06,2.50971e-06
5,11.221,0.70008,0.98623,1.09206,0.14363,0.35836,0.25965,0.18429,1.91005,3.91296,1.86717,2.87504e-06,2.87504e-06,2.87504e-06
6,13.4324,0.81755,0.8276,1.08834,0.53926,0.23763,0.26543,0.18795,1.91366,3.65155,1.82769,3.00475e-06,3.00475e-06,3.00475e-06
7,15.645,0.89482,1.04269,1.22425,0.52439,0.32535,0.27588,0.20972,1.8414,3.44703,1.72678,2.89884e-06,2.89884e-06,2.89884e-06
8,17.8198,0.92132,0.91395,1.19653,0.54029,0.34001,0.29669,0.20476,1.7905,3.24918,1.69747,2.55731e-06,2.55731e-06,2.55731e-06
9,19.9635,0.84469,0.84533,1.22736,0.55694,0.35318,0.31825,0.22142,1.69291,3.08949,1.59544,1.98016e-06,1.98016e-06,1.98016e-06
10,22.1999,0.82861,0.87224,1.09494,0.55981,0.36667,0.32565,0.24587,1.6321,2.95964,1.54447,1.16739e-06,1.16739e-06,1.16739e-06
