epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.8916,0.82546,2.14489,1.28275,0.6186,0.89208,0.88775,0.61936,1.3969,1.32494,1.25195,0,0,0
2,3.55668,0.95984,1.98656,1.33701,0.56707,0.83333,0.87401,0.63267,1.41552,1.3482,1.26174,1.07219e-06,1.07219e-06,1.07219e-06
3,5.32504,0.89551,2.05777,1.27327,0.59213,0.83333,0.87388,0.62535,1.44906,1.3509,1.26936,1.90876e-06,1.90876e-06,1.90876e-06
4,6.95015,1.0512,2.24019,1.37542,0.58357,0.83333,0.87396,0.60379,1.463,1.37701,1.27365,2.50971e-06,2.50971e-06,2.50971e-06
5,8.48746,0.95091,2.79289,1.32601,0.5739,0.83333,0.87248,0.59632,1.48625,1.41426,1.28195,2.87504e-06,2.87504e-06,2.87504e-06
6,10.0255,0.93377,1.76539,1.24002,0.59586,0.83333,0.87926,0.60075,1.50163,1.44316,1.28401,3.00475e-06,3.00475e-06,3.00475e-06
7,11.5782,0.85816,2.8087,1.252,0.68189,0.83333,0.89228,0.62689,1.50636,1.47206,1.28366,2.89884e-06,2.89884e-06,2.89884e-06
8,13.0479,1.06615,2.25933,1.33338,0.67082,0.75,0.89237,0.6225,1.52546,1.5043,1.29536,2.55731e-06,2.55731e-06,2.55731e-06
9,14.5515,0.76352,1.75342,1.19502,0.66847,0.75,0.87864,0.61142,1.52525,1.55181,1.30057,1.98016e-06,1.98016e-06,1.98016e-06
10,16.0508,0.81565,1.87521,1.16044,0.67877,0.75,0.83741,0.60635,1.50707,1.55473,1.29619,1.16739e-06,1.16739e-06,1.16739e-06
